PostalCode,Longitude,Latitude,State2,State,City,County,Region,Area,TimeZone
20811,-77.1008,38.9806,MD,Maryland,BETHESDA,MONTGOMERY,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
20857,-77.1534,39.0839,MD,Maryland,ROCKVILLE,MONTGOMERY,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
20889,-77.1006,38.9808,MD,Maryland,BETHESDA,MONTGOMERY,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
20892,-77.1056,39.0003,MD,Maryland,BETHESDA,MONTGOMERY,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
20894,-77.1006,38.9808,MD,Maryland,BETHESDA,MONTGOMERY,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
20897,-77.0578,39.0876,MD,Maryland,SUBURB MARYLAND FAC,MONTGOMERY,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
20899,-77.2018,39.1434,MD,Maryland,GAITHERSBURG,MONTGOMERY,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
20993,-76.986628,39.033471,MD,Maryland,SILVER SPRING,MONTGOMERY,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
20997,-77.0263,38.9936,MD,Maryland,SILVER SPRING,MONTGOMERY,South,Washington-Arlington-Alexandria DC-VA-MD-WV,5
21062,-76.625,39.1626,MD,Maryland,GLEN BURNIE,ANNE ARUNDEL,South,Baltimore-Columbia-Towson MD,5
21065,-76.6448,39.4808,MD,Maryland,HUNT VALLEY,BALTIMORE,South,Baltimore-Columbia-Towson MD,5
21235,-76.7326,39.3118,MD,Maryland,BALTIMORE,BALTIMORE CITY,South,Baltimore-Columbia-Towson MD,5
21241,-76.6125,39.2905,MD,Maryland,BALTIMORE,BALTIMORE CITY,South,Baltimore-Columbia-Towson MD,5
21250,-76.708412,39.252078,MD,Maryland,BALTIMORE,BALTIMORE,South,Baltimore-Columbia-Towson MD,5
21251,-76.582096,39.34227,MD,Maryland,BALTIMORE,BALTIMORE CITY,South,Baltimore-Columbia-Towson MD,5
21252,-76.617784,39.387026,MD,Maryland,TOWSON,BALTIMORE,South,Baltimore-Columbia-Towson MD,5
21263,-76.6125,39.2905,MD,Maryland,BALTIMORE,BALTIMORE CITY,South,Baltimore-Columbia-Towson MD,5
21264,-76.6125,39.2905,MD,Maryland,BALTIMORE,BALTIMORE CITY,South,Baltimore-Columbia-Towson MD,5
21273,-76.6125,39.2905,MD,Maryland,BALTIMORE,BALTIMORE CITY,South,Baltimore-Columbia-Towson MD,5
21275,-76.6125,39.2905,MD,Maryland,BALTIMORE,BALTIMORE CITY,South,Baltimore-Columbia-Towson MD,5
21278,-76.6125,39.2905,MD,Maryland,BALTIMORE,BALTIMORE CITY,South,Baltimore-Columbia-Towson MD,5
21279,-76.6125,39.2905,MD,Maryland,BALTIMORE,BALTIMORE CITY,South,Baltimore-Columbia-Towson MD,5
21280,-76.6125,39.2905,MD,Maryland,BALTIMORE,BALTIMORE CITY,South,Baltimore-Columbia-Towson MD,5
21287,-76.6125,39.2905,MD,Maryland,BALTIMORE,BALTIMORE CITY,South,Baltimore-Columbia-Towson MD,5
